Subject,Mask,Model,a2,b1,b2,sigma,w1,w_v,w_avg,a2_s,b1_s,b2_s,sigma_s,w1_s,w_v_s,w_avg_s,b1+b2,b1+b2_s,Adjusted R2,bic,bic_rel
104,OFCmed,Relative,11.655076207008749,8.481775859810089,-6.979566279937847,1.0,0.0,0.0,0.0,0.1858667229226459,0.052341259147291666,0.04927460883955284,0.0,0.0,0.0,0.0,1.5022095798722415,0.024547913588356583,0.1135933629560344,2210935.8101266744,-25117.68285683589
104,dmPFC,Relative,18.743049615975753,12.527571435218249,-9.941770703150281,1.0,0.0,0.0,0.0,0.3506478126590332,0.09898221240523922,0.0928860237048592,0.0,0.0,0.0,0.0,2.585800732067968,0.046645408214349864,0.07397379265877246,2577836.127319386,-15663.56440088991
105,vmPFC,Null,16.07630021786916,0.0,0.0,1.0,0.0,0.0,0.0,0.21763930663227687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018643575671630996,2329704.868240751,0.0
105,OFCmed,Null,15.122376153224462,0.0,0.0,1.0,0.0,0.0,0.0,0.20755200110462724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018147777564000545,2302458.634276869,0.0
105,dmPFC,Null,18.00347212735758,0.0,0.0,1.0,0.0,0.0,0.0,0.2351948781245916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999378815639985,2374242.556467297,0.0
105,vmPFC,Absolute,14.306942982907719,-1.0492585443407593e-07,0.0,1.0,0.0,0.0,0.0,0.2185936521548315,0.023223683701719434,0.0,0.0,0.0,0.0,0.0,-1.0492585443407593e-07,0.023223683701719434,0.017743928881564397,2329979.474870321,274.6066295700148
105,OFCmed,Absolute,13.486658661553026,-9.711410774752714e-08,0.0,1.0,0.0,0.0,0.0,0.20845422973136749,0.02216208627155957,0.0,0.0,0.0,0.0,0.0,-9.711410774752714e-08,0.02216208627155957,0.01730171288363913,2302717.456426262,258.8221493931487
105,dmPFC,Absolute,16.216776895002944,-1.0569397382874747e-07,0.0,1.0,0.0,0.0,0.0,0.23621428744985928,0.02509143086147004,0.0,0.0,0.0,0.0,0.0,-1.0569397382874747e-07,0.02509143086147004,0.019208909277481645,2374483.9366697385,241.38020244147629
105,vmPFC,Relative,14.07933741582626,0.02223793627816517,-0.02223745119787554,1.0,0.0,0.0,0.0,0.2598802573686,0.052928324318267536,0.047199233772173964,0.0,0.0,0.0,0.0,4.850802896305684e-07,0.018246125272773375,0.017049560916966522,2330193.8972882177,489.0290474668145
105,OFCmed,Relative,13.271838958953476,0.00715521514668742,-0.007154926376779067,1.0,0.0,0.0,0.0,0.24782722842936658,0.050473552710303314,0.04501017281574462,0.0,0.0,0.0,0.0,2.8876990835341454e-07,0.017399885134036036,0.016615724844620594,2302929.3414065824,470.70712971361354
